comment_star,cus_comment
30,掐 时间 开门 号 我要 半糖 冰中杯 柠檬 养乐多 喝 两瓶 养乐多 柠檬汁 柠檬 片 封盖 柠檬 片问 一句 柠檬 那女 句 提前 告知 我下 语出惊人 句 装饰 气 柠檬 请 洗 干净 切片 放入 不好意思 态度 打招呼 鸟样 客气 
50,小哥 态度 很久没 吃 吃 发觉 吃 欣喜 出咸 奶盖 生意 差些 店 不错 这家 红茶 润 不苦 昌里 路上 那家 红茶 太苦 冰激凌 没次 点玛奇朵 
40,一点点 点评 先是 纯茶 喜欢 四季春 茶加 仙草 甜甜的 凉凉的 口感 超级 超级 奶绿 珍珠 波霸 椰果 百吃 不厌 葡萄柚 绿茶 抹 茶 超级 抹 茶 甜 一点 会苦 
40,国庆节 正好 世博园 华夏 家 博会 去逛 逛 南路 点点 这家 店 每次 路过 好多 排队 排队 买 杯 四季春 茶 特别 清爽 不腻 每次 路过 一点点 要点 一杯 饮料 价格 适中 口感 喜好 而定 性价比 高 
40,拔草 今天天气 炎热 距离 选择 距离 较近 一点点 自制 饮料店 点 杯 金桔 柠檬 一点点 全国 连锁 口味 商品 真的 失望 柠檬 味道 存留 金桔 味道 柠檬 酸味 买 中杯 元 喝 饮料 满意 喝 失望 自我感觉 欺骗 消费者 反正 下次 买 
40,不用 说 一点点 用料 实在 口味 亲近 价格合理 完 梅奔 中心 演出 走 正好 晚上 点半 营业 晚 几个 外卖 员 三两个 顾客 不用 排队 实在 白天 排队 断 机会 两杯 味道 自然 过程 顺利 点半多 接单 制作 感觉 挺 辛苦 
40,我能 想到 浪漫 事 慢慢 变老 一路上 收藏 点点滴滴 欢笑 留 坐 摇椅 慢慢 聊 我能 想到 浪漫 事 慢慢 变老 老得 依然 当成 手 宝 出门 散个步 走 累 喝杯 一点点 夫复 何求 
40,听说 一点点 百香果 饮品 跑 买 一杯 喝 更何况 排 队 十分钟 喝 百香 三重奏 大大的 波霸 小小的 珍珠 椰 长长的 椰果 三重奏 令人 惊讶 百香果 籽 一点 籽 嚼 吃香 香脆 脆 挺 特别 挺 感觉 多此一举 红茶 铁 加奶 盖 奶味特 浓郁 中杯 感觉 量 少 
50,网红店 奶茶 体验 公司员工 迟到 三次 请 喝 奶茶 略略 连续 几天 奶茶 笑 哭 笑 哭 说 幸福 幸 肥胖 福 特别 喜欢 喝 一点点 波霸奶 绿 唯一 喝 拉肚子 奶茶 笑 哭 笑 哭 店家 免费 加料 加 好吃 嘻嘻 公司 请 喝 奶茶 会点 这家 公司 挺 啵 啵 啵 
50,点 一杯 波霸奶 绿 一杯 红糖 玛奇朵 多人 喝 口味 依然 没得说 价格 不贵 值得 推荐 等待时间 太 长 堂 吃 外卖 一大堆 分钟 堂 吃 一份 做 奶茶 少 喝 一点 一杯 奶茶 包含 咖啡因 相当于 五杯 咖啡 常出 人体 日均 摄入量 
10,几次 外卖 味道 公司 一点点 一家 尝试 几次 想着 总有 外卖 夸张 两杯 波霸 奶茶 颜色 味道 差 十万八千里 淡色 一杯 奶味 甜味 甜到 齁 相比之下 深色 那杯 这家 店 做 奶茶 员工 标准 做 点 七分 甜 苦 无糖 甜 门店 七分 甜 
50,奶茶 高热量 高糖 饮品 平时 喝 每次 散步 一圈 奶茶 店 属 一点点 生意 店门口 站 等待 领取 奶茶 顾客 门口 三三两两 几个 不用 排队 买杯 奶茶 喝喝 感觉 买 赚 选了 大杯 乌龙 奶茶 加糖 冰 加 椰果 
40,浦东 分不清楚 东西南北 大热 天 焦躁 路边 有家 一点点 奶茶 铺 顿觉 心理 安慰 打算 先买 杯大爱 红茶 玛奇朵 慢慢 找要 地点 这家 一点点 铺面 很小 冰柜 放到 门口 杯子 里 盛 冰激凌 球 这款 生意 不错 点单 拿到 饮料 一共 几分钟 时间 蛮快 一如既往 好喝 
30,昌里 路 这家 开业 生意 排队 路过 正好 看人 买杯 解解 嘴瘾 排队 挺快 收银 处 哥哥 态度 貌似 店 配料 多问 一句 不耐烦 感觉 点点 家 态度 太好 这家 一家 点点 竞争 约束力 饮料 味道 不错 服务 遗憾 一星 扣 这位 小哥 身上 
40,超级 想 喝 一点点 真心 喜欢 一点点 波霸 口感 爆炸 喝 东西 太多 这家 店得 生意 感觉 排队 点 爱 乌龙 玛奇朵 红茶 玛奇朵 差别 
40,北京 卖过 一点点 上海 临走 买 两杯 红茶 玛奇朵 味道 不错 最爱奶 盖 厚厚的 一层 珍珠 不同于 地方 很小 糯 杯子 设计 那种 盖子 戳 开 喝 奶盖 神 好喝 价格 算是 便宜 还好 北京 卖 馋 买 
40,路过 南路 发现 一点点 排队 凑热闹 排 夏天 晚上 天气 热 买杯 冰 奶茶 喝喝 消暑 服务员 态度 不错 点单 饮料 做 四季 奶青 杯 元 冰 分糖 一点点 里 喜欢 一款 奶茶 茶香 奶香 中 味道 清新 甜腻 
50,做 睫毛 指甲 路过 一点点 生意 不错 每次 久 幸运 买 还好 不用 太久 喝 饮料 喜欢 加糖 加奶 家 爱 茉莉 绿茶 四季春 茶 冻顶乌龙 茶 特别 清爽 加个 波霸 喝 特别 苦 推荐 
40,魔 一点点 真的 排队 半个 小时 店员 超级 忙碌 一点点 价位 亲民 听说 是湾湾 奶茶 店 加料 钱 太 友善 两个 一共 花 块钱 两大杯 走 实惠 路线 整体 味道 不错 天天 喝会 上瘾 
50,喜欢 一点点 口感 不甜 不腻 甜度 选择 每家 一点点 排队 服务 热情 一家 小店 好多 工作人员 生意 真的 太好了 每次 路过 一点点 要点 一杯 奶茶 饮料 价格 适中 适合 众多 口感 
30,点 冰激淋 红茶 半分 糖 甜 店员 加 一点点 波霸 波霸 久 做 外卖 还好 天 热 太久 没个 地方 做 估计 走 别店 南路 昌里 路 一块 奶茶 店 挺 店员 热情 
40,总体 上海 算是 一家 实惠 奶茶 店 奶茶 味道 不错 店里 点 波霸 奶茶 总体 感觉 不错 良是 真的 喝完 奶茶 发现 一大堆 波霸 吃不完 说 哈哈哈哈 点过 阿华田 感觉 不错 
50,喜欢 冰激凌 红茶 网红 四季春 茶加波 霸加 冰淇淋 两款 适合 初夏 喝喝 排队 还好 点 完单 分钟 拿到 点单 店员 忙忙碌碌 做 奶茶 估计 外卖 单子 外卖 原因 店 消费 顾客 太久 要点 赞 门口 不远处 一杯 洒 外面 翻掉 奶茶 杯子 扔 拖 建议 时间 情况 改善 
50,迷上 一点点 糖 改蜜 它家 蜂蜜 真的 元 值得 果糖 健康 点 反正 奇妙 风味 喝 眼前一亮 蜂蜜 牛奶 布丁 混珠 甜甜的 蜂蜜 牛奶 太 好喝 奶 香味 瞬间 提升 档次 清凉 回甜 不腻 爽滑 弹润 焦糖 布丁 爱到 不行 这杯 贵 真的 毛病 哈哈哈哈 蜂蜜 四季 铁 燕麦 波霸 丝滑 清润 茶 铁 蜂蜜 甘甜 太 喜欢 清雅 颜色 看着 十足 诱人 蜂蜜 只能 做 冷饮 冬天 喝 
20,点 两杯 一模一样 冰 七分 甜 养乐多 绿 第一杯 尝着 真的 很淡 第二杯 倒好 更淡 茶苦 水 丁点 养乐多 味道 扔 糊弄人 人员培训 合格 上岗 累 跑 一站 路 喝 喝 一肚子气 
