name,comment_count,comment_star,comment_description,cus_comment
1点点(上南路店),77条,30,口味：好 环境：很好 服务：一般 人均：0元,掐的时间等开门，001号。我要半糖正常冰中杯柠檬养乐多。以前喝过，知道有两瓶养乐多和柠檬汁以及柠檬片。看到封盖的时候没有柠檬片问了一句没有柠檬嘛？那女的来句，没准备好。没有准备好你可以提前告知我下。她又语出惊人的来句这也就是装饰的而已。我就来气了。柠檬在那里，请洗干净切片放入，不好意思，你态度好打招呼我OK。若你这样的鸟样那么我也不会客气。
,,50,口味：很好 环境：很好 服务：非常好 人均：15元,小哥态度一直很好，很久没吃了，吃了发觉没有以前刚吃时候的欣喜了，要是出咸的奶盖就好了。生意比以前差些，不过和其他店比还是不错的，这家红茶润而不苦，昌里路上的那家红茶太苦了。个人到觉得冰激凌的一般，没次都点玛奇朵
,,40,口味：很好 环境：很好 服务：很好 人均：0元,一点点点评hhhhhhhh。来啦来啦。先是纯茶。喜欢那个四季春茶加仙草呢。甜甜的凉凉的口感超级超级好呢hhhhh。再是奶绿加上珍珠波霸和椰果 百吃不厌呢。还有葡萄柚绿茶 抹茶 超级好呢 不过抹茶要甜一点要不然会苦哦qwqwq
,,40,口味：很好 环境：很好 服务：很好,今天是国庆节，正好去世博园的华夏家博会去逛了逛，经过上南路上1点点这家店，每次路过这里都有好多人在排队，今天恰好排队人很少，买了杯四季春茶，特别清爽不腻，我每次路过一点点必定要点一杯饮料，价格适中，口感随自己喜好而定，性价比很高
,,40,口味：很好 环境：很好 服务：很好,🍊🍊🍊拔草行动👀。，今天天气比较炎热，所以考虑到了距离问题:)选择了距离较近的——一点点——自制饮料店☜。        点了杯【金桔柠檬】🍊🍊一点点也是全国连锁，但是口味和商品真的让我很失望，除了里面有柠檬一片‖一切二‖什么也没有，味道也就存留了金桔的味道以及柠檬的酸味，买的是中杯，$13元，这是喝饮料以来最不满意喝最失望的一次了！。。         自我感觉就是欺骗消费者，反正下次是不会再买了！
,,40,口味：非常好 环境：很好 服务：非常好 人均：13元,不用多说的一点点，用料实在，口味亲近，价格合理。看完附近梅奔中心的演出，走到这里的时候正好晚上10点半，这里居然还在营业，而且由于比较晚了所以只有几个外卖员和三两个顾客，不用排队实在难得，白天基本上排队不会断的，这么好的机会当然要来两杯啦。味道自然是没有问题的，过程也很顺利。10点半多了还在不断接单和制作，感觉挺辛苦的。
,,40,口味：很好 环境：很好 服务：很好 人均：0元,我能想到最浪漫的事。。就是和你一起慢慢变老。。一路上收藏点点滴滴的欢笑。。留到以后坐着摇椅慢慢聊。。我能想到最浪漫的事。。就是和你一起慢慢变老。。直到我们老得哪儿也去不了。。你还依然把我当成手心里的宝。。出门散个步，走了累了喝杯一点点，夫复何求啊
,,40,口味：很好 环境：很好 服务：很好,听说一点点也有百香果的饮品了，就跑去买上一杯喝，更何况现在也不会排什么队了，十分钟左右就可以喝了。。「百香三重奏」。里面有大大的波霸、小小的珍珠椰和长长的椰果，此为三重奏。。令人惊讶的是，百香果的籽竟然一点也没有。。其实吧，籽嚼着吃香香脆脆的、挺特别、挺有感觉的，这样就有些多此一举了。。「红茶拿铁」加奶盖。奶味特浓郁。。另外，中杯感觉量好少啊。
,,50,口味：非常好 环境：非常好 服务：非常好 人均：15元,作为网红店的奶茶怎么可以不体验呢。೭(˵¯̴͒ꇴ¯̴͒˵)౨。😛😛😛😛😛😛😛😛😛😛😛😛。公司员工迟到三次就请喝奶茶略略略😋😋😋。所以我已经连续好几天都和奶茶了[笑哭][笑哭]。该说是幸福还是幸（肥胖）福呢。之前一直都特别喜欢喝一点点的波霸奶绿。是唯一我喝了不拉肚子的奶茶[笑哭][笑哭]。👯👯👯👯👯👯👯。店家还可以免费加料。所以就可以加很多好吃的。嘻嘻嘻。以后公司再请喝奶茶也都会点这家呢。离公司也近，所以也是挺好的。哈哈😄。啵啵啵
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,点了一杯波霸奶绿和一杯红糖玛奇朵，这么多人喝口味依然是没得说，价格也不不贵，值得推荐，但是就是等待时间太长，虽然堂吃人不多，但是外卖一大堆，等了20分钟堂吃的一份都没有做出来。当然奶茶这种还是少喝一点为好，一杯奶茶包含的咖啡因相当于五杯咖啡，严重常出人体日均最高摄入量。
,,10,口味：差 环境：一般 服务：一般 人均：0元,叫过好几次外卖 没有一次是味道是正常的 因为公司附近的一点点只有这一家 所以尝试了好几次 想着总有一次是正常的吧 今天叫了外卖 更夸张 两杯波霸奶茶 颜色不一样也就算了 味道也是差了十万八千里 淡色的那一杯只有奶味和甜味 而且甜到齁 相比之下深色的那杯就好很多 不知道这家店做奶茶的员工是按什么标准来做的 有一次点了个七分甜 苦的跟无糖一样 今天要的正常甜 和别的门店七分甜一样
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,奶茶，一直觉得是高热量，高糖的饮品，所以本人平时很少喝。每次散步经过这里，周围一圈的奶茶店就属一点点生意最好，店门口总是站满了等待领取奶茶的顾客，今天经过，门口只有三三两两几个人，不用排队买杯奶茶喝喝，感觉买到就是赚到。。选了大杯乌龙奶茶，不加糖，去冰，另外加了椰果。
,,40,口味：很好 环境：好 服务：很好 人均：16元,不经常来浦东有些分不清楚东西南北。大热的天，焦躁的我看见路边有家一点点的奶茶铺，顿觉心理安慰了，打算先买杯大爱的红茶玛奇朵，在慢慢找要去的地点。这家一点点的铺面很小，一边的冰柜已经放到门口了，里面杯子里都盛着冰激凌🍦球看来这款的生意也是不错。点单，拿到饮料一共就几分钟时间蛮快的，一如既往的好喝。
,,30,口味：很好 环境：很好 服务：一般 人均：0元,昌里路附近的这家从开业开始就一直是生意很好，排队不断的，这次下午路过，正好看人不多也去买杯解解嘴瘾～。排队还是挺快的，不过收银处的小哥哥的态度貌似没有其他店的好，就配料多问了一句，就有些不耐烦地感觉了……难道就怪其他的1点点家的态度太好，就把这家的明显对比出来了。也怪这附近就这么一家1点点，没有竞争，就没有约束力了。。虽然最后的饮料味道还是不错的，只是这服务还是让人遗憾，一星就扣在了这位小哥身上了。
,,40,口味：很好 环境：很好 服务：很好 人均：0元,超级饱，但是还是想喝一点点。我真心喜欢一点点的波霸。口感好到爆炸，不过可能因为现在喝的东西太多了。这家店得生意感觉没有以前好了。所以过去基本不要排队了。点了最爱的乌龙玛奇朵，其实和红茶玛奇朵差别不大的。
,,40,口味：很好 环境：很好 服务：很好 人均：0元,没有在北京卖过一点点，来上海一定要也一次呀。临走的时候买了两杯，红茶玛奇朵味道还不错，最爱奶盖厚厚的一层，珍珠不同于其他地方的，很小很糯QQ的，杯子的设计不是那种能拿下来盖子的，有点不方便，还得戳开喝奶盖，其实没有那么神那么好喝，但是价格还算是比较便宜的，还好北京有卖，馋了可以买的到。
,,40,口味：很好 环境：好 服务：很好 人均：14元,路过上南路，发现有一点点，不少人在排队，凑热闹也排一个，毕竟夏天的晚上天气很热，买杯冰奶茶喝喝会比较消暑。。。服务员态度不错，点单也快，饮料做的也快。。。四季奶青：大杯14元，去冰3分糖，一点点里最喜欢的一款奶茶，茶香奶香中和的很好，味道清新不甜腻。
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,一直附近做睫毛和指甲，路过一点点，生意一直不错，以前每次等很久，今天幸运买的时候还好不用等太久，我喝饮料一般不喜欢加糖加奶…他们家我最爱「茉莉绿茶」「四季春茶」「冻顶乌龙茶」特别清爽，加个波霸，喝的时候不会特别苦~推荐
,,40,口味：很好 环境：很好 服务：很好 人均：0元,来我大魔都怎么可以没有一点点！人真的很多，排队要等半个小时左右。店员也超级忙碌。一点点的价位相当亲民，听说之前是湾湾奶茶店？加料也不要钱，简直不要太友善，两个人一共才花20来块钱就两大杯，看来走的是实惠路线，整体味道不错，如果天天喝会上瘾哈哈！
,,50,口味：非常好 环境：非常好 服务：非常好,喜欢一点点的口感，不甜不腻，甜度也可以自己选择，但是每家一点点都需要排队，她们服务也很热情，一家小店好多工作人员，生意真的太好了，每次路过一点点必定要点一杯奶茶或其他饮料，价格也很适中。适合众多人的口感
,,30,口味：好 环境：一般 服务：很好 人均：0元,点了冰激淋红茶，半分糖还是有点甜，让店员加了一点点的波霸，波霸还是很Q的，等了有点久，做的都是外卖单，还好天不是很热，否则等的太久也没个地方做，估计大家都走去别店了，毕竟在上南路，昌里路这里一块奶茶店还是挺多的，好在店员热情！
,,40,口味：很好 环境：非常好 服务：非常好 人均：15元,总体来说，在上海算是一家很实惠的奶茶店了，然后奶茶味道很不错，在店里点了一个波霸奶茶，总体感觉还很不错，就是bobo的良是gay的，真的多啊，喝完奶茶发现还有那么一大堆波霸吃不完的说啊哈哈哈哈哈，之前点过阿华田感觉还不错
,,50,口味：非常好 环境：很好 服务：很好 人均：18元,喜欢冰激凌红茶和网红四季春茶加波霸加冰淇淋，这两款都适合初夏喝喝。排队还好，大概点完单10分钟就拿到了，后面点单的人不多，但店员还是忙忙碌碌的在做奶茶，估计外卖单子不少，但并不会因为外卖原因而让到店消费的顾客等太久，这个要点赞。门口不远处有一杯洒在外面翻掉的奶茶，杯子什么都扔了，但是地没有拖，建议在有时间的情况下改善。
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,最近再次迷上了一点点的“去糖改蜜”，它家的蜂蜜真的有点好，为此多6元也是完全值得，代替果糖是不是会更健康点？反正那奇妙的风味让我一喝就眼前一亮。。【蜂蜜牛奶➕布丁➕混珠】，甜甜的蜂蜜牛奶也太好喝了吧，奶香味瞬间提升一个档次，清凉回甜还不腻，爽滑弹润的焦糖布丁还是爱到不行，这杯除了贵真的没毛病哈哈哈哈。。【蜂蜜四季拿铁➕燕麦➕波霸】，丝滑清润的茶拿铁也多了蜂蜜的甘甜，太喜欢了，清雅的颜色看着都十足诱人，不过蜂蜜只能做冷饮，冬天还有点不敢喝呢
,,20,口味：一般 环境：好 服务：好 人均：14元,点了两杯一模一样的去冰七分甜养乐多绿，第一杯尝着是真的很淡，第二杯倒好更淡，就是带了茶苦的水，丁点养乐多的味道都没有，直接扔了，别糊弄人好吗，人员培训合格了再上岗好吗，累了一天还跑了一站路过来喝的，结果喝了一肚子气
,,50,口味：非常好 环境：很好 服务：很好 人均：0元,因为健身已经不喝奶茶了，不过一点点的冰淇淋红茶还是要喝的，就算减肥也抵抗不了。这家分店在8号线地铁口不远处，一直有人在排队，有时候晚上十点路过也有人排队，生意是真的好。生意好的时候app上的外卖也会关。
,,30,口味：好 环境：好 服务：好 人均：0元,来这里喝奶茶的人还是很多的，不过好像没有以前多了……路过这里喝一杯奶茶好像也行。他们家的奶茶其实还是可以的，不过个人不喜欢比珍珠这类东西，所以没有加。这里的甜度也是可以选择的。所以整体上说还是很不错的了。
,,30,口味：一般 环境：一般 服务：非常好 人均：0元,气死了 刚刚点了一杯薄霸奶茶➕布丁，居然10颗珍珠都没吸到。搞什么鬼？一个礼拜规定只能喝一次，等了这么久居然碰上偷工减料！8.17日18:45左右的70号 做的那位员工，请你反思！放对比图，今天的和以前的差别！
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,网红奶茶今天终于有空来了，第一次喝我不知道哪个好喝，果断买了杯柠檬的。。一定要冰的才好喝，味道跟其他家不一样的地方是他们家的有多糖，标准糖，少糖，可以根据自己口味元，我要的标准的，但是也不是很甜，添加剂很少，酸酸的柠檬味很浓，挺好喝的，怪不得这么多人推荐呢。
